ins_id,ins_name,ins_type,ins_country
https://openalex.org/I4210104430,Laboratoire d'Informatique de Grenoble,facility,FR
https://openalex.org/I4210133755,Universitas Muhammadiyah Kupang,education,ID
https://openalex.org/I2799858192,London School of Business and Management,education,GB
https://openalex.org/I142263535,University of Nottingham,funder,GB
https://openalex.org/I166337079,Queen Mary University of London,funder,GB
https://openalex.org/I1289910757,NEOMA Business School,education,FR
https://openalex.org/I123338534,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,funder,IT
https://openalex.org/I31762744,University of Gastronomic Sciences,funder,IT
https://openalex.org/I176453806,University of Potsdam,funder,DE
https://openalex.org/I57201433,Università della Svizzera italiana,education,CH
https://openalex.org/I305801656,Wroclaw University of Economics and Business,education,PL
https://openalex.org/I188922065,University of Economics in Katowice,education,PL
https://openalex.org/I4210142206,Centro Nacional de Análisis Genómico,facility,ES
https://openalex.org/I4210127540,Nerviano Medical Sciences,company,IT
https://openalex.org/I865915315,Vrije Universiteit Amsterdam,funder,NL
https://openalex.org/I4210134201,IRCCS Istituto Auxologico Italiano,healthcare,IT
https://openalex.org/I4210155236,National Research Council,nonprofit,IT
https://openalex.org/I4210154278,Institute of Biomedical Technologies,facility,IT
https://openalex.org/I4210133214,IRCCS Ospedale San Raffaele,healthcare,IT
https://openalex.org/I2799358833,Azienda Ospedaliera San Giovanni Addolorata,healthcare,IT
https://openalex.org/I79576946,University of Pennsylvania,funder,US
https://openalex.org/I4210099239,IRCCS Policlinico San Donato,healthcare,IT
https://openalex.org/I4210135416,Ospedale di Parma,healthcare,IT
https://openalex.org/I31746571,UNSW Sydney,funder,AU
https://openalex.org/I1324925910,St Thomas' Hospital,healthcare,GB
https://openalex.org/I4210150100,Metropolitana Milanese (Italy),company,IT
https://openalex.org/I6141010,European Institute of Oncology,healthcare,IT
https://openalex.org/I4210156707,Fondazione IRCCS Istituto Nazionale dei Tumori,healthcare,IT
https://openalex.org/I94624287,University of Twente,funder,NL
https://openalex.org/I110002522,University of Essex,funder,GB
https://openalex.org/I171543936,Free University of Bozen-Bolzano,funder,IT
https://openalex.org/I2802934949,Radboud University Medical Center,healthcare,NL
https://openalex.org/I145872427,Radboud University Nijmegen,funder,NL
https://openalex.org/I108290504,University of Pisa,funder,IT
https://openalex.org/I4210156583,Laboratoire d'Informatique de Paris-Nord,facility,FR
https://openalex.org/I135117807,Université de Sherbrooke,funder,CA
https://openalex.org/I186771145,Covenant University,funder,NG
https://openalex.org/I60668342,University of Regensburg,funder,DE
